Minggu ke,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun
212,14650.0,31690.0,40810.0,68500.0,58710.0,136650.0,26190.0,37390.0,18350.0,17500.0,2024.0
213,15000.0,31320.0,40150.0,73840.0,47250.0,136650.0,27320.0,36350.0,18350.0,17500.0,2024.0
214,15350.0,30200.0,40150.0,63970.0,48350.0,136650.0,27000.0,37330.0,18350.0,17500.0,2024.0
215,15850.0,31640.0,39090.0,72050.0,47850.0,136650.0,27770.0,38640.0,18350.0,17500.0,2024.0
216,16120.0,34320.0,38800.0,80450.0,66540.0,136650.0,28260.0,39850.0,18350.0,17500.0,2024.0
217,16650.0,34400.0,39260.0,91090.0,83730.0,136650.0,30000.0,37740.0,18350.0,17500.0,2024.0
218,16850.0,35260.0,39650.0,78210.0,77140.0,136650.0,31330.0,39280.0,18350.0,17600.0,2024.0
219,16650.0,34870.0,39650.0,73150.0,73170.0,136650.0,32000.0,41810.0,18350.0,18000.0,2024.0
220,16350.0,35180.0,41360.0,78540.0,72930.0,140160.0,32210.0,41500.0,18440.0,18000.0,2024.0
221,16350.0,35310.0,42310.0,51420.0,51620.0,138500.0,32350.0,40720.0,18500.0,18000.0,2024.0
222,15980.0,37250.0,42100.0,37700.0,41900.0,137500.0,30630.0,40000.0,18500.0,18000.0,2024.0
223,15850.0,48170.0,42300.0,40050.0,42020.0,138840.0,28070.0,40320.0,18500.0,18000.0,2024.0
224,15850.0,51500.0,42250.0,42350.0,43400.0,140850.0,28000.0,42250.0,18500.0,18000.0,2024.0
225,15570.0,64110.0,44230.0,38090.0,38890.0,141160.0,27780.0,41550.0,18500.0,18100.0,2024.0
226,15100.0,68400.0,45480.0,44920.0,45620.0,138830.0,27470.0,39400.0,18500.0,18500.0,2024.0
227,14860.0,60750.0,45790.0,59620.0,41810.0,138350.0,29500.0,37830.0,18500.0,18650.0,2024.0
228,14650.0,52520.0,45850.0,51430.0,33080.0,138350.0,30070.0,40060.0,18500.0,18900.0,2024.0
229,14650.0,53590.0,45170.0,45960.0,35640.0,138180.0,30350.0,40910.0,18500.0,18900.0,2024.0
230,14650.0,51580.0,45850.0,44120.0,38370.0,137500.0,29480.0,39060.0,18500.0,18720.0,2024.0
